"App","Section","Name","ActionXMLID","Level","NeedsRule","Domain","ExtraRead"
"Accounting","Reporting","Thai Tax Report","l10n_th_account_tax_report.action_tax_report","create","N","","account.move,account.move.line"
"Accounting","Reporting","WHT Income Tax Report","l10n_th_account_tax_report.action_withholding_tax_report_wizard","create","N","","account.move,account.move.line,account.withholding.move"
"Accounting","Accounting","Tax Invoices","l10n_th_account_tax.action_tax_invoice","edit","N","","account.move,account.move.line"
"Accounting","Vendors","WHT Certificates","l10n_th_account_tax.action_withholding_tax_cert_menu","create","N","","account.move,account.move.line,res.partner"
"Accounting","Accounting","Withholding Tax Move","l10n_th_account_tax.action_withholding_tax_move_view","edit","N","","account.move,account.move.line"
"Accounting","Accounting","Personal Income Tax Move","l10n_th_account_tax.action_pit_move_view","edit","N","","account.move,account.move.line"
"Accounting","Customers","Billing Notes","custom_billing_note.action_customer_billing_note","create","N","","account.move,account.move.line,res.partner"
"Accounting","Vendors","Consolidate WHT","custom_wht_consolidate.action_wht_consolidate_wizard","create","N","","account.move,account.move.line"
"Accounting","Accounting","Chart of Accounts Hierarchy","sh_account_parent.sh_account_hierarchy_wizard_action","create","N","","account.account,account.group"
"Sales","Blanket Orders","Blanket Orders","sale_blanket_order.act_open_blanket_order_view","create","N","","sale.order,sale.order.line,product.template,product.product,res.partner"
"เงินกู้พนักงาน","เงินกู้พนักงาน","ทะเบียนเงินกู้","custom_hr_loan.action_hr_employee_loan","create","N","","hr.employee,account.move,account.move.line"
"เงินกู้พนักงาน","เงินกู้พนักงาน","งวดผ่อนทั้งหมด","custom_hr_loan.action_hr_employee_loan_line","read","N","","hr.employee,account.move,account.move.line"
"Reporting","Contract KPI","Contract KPI","crm_blanket_order_kpi.action_crm_contract_kpi","read","N","","crm.lead,sale.blanket.order,sale.blanket.order.line"
"Reporting","Contract KPI","Contract by Product","crm_blanket_order_kpi.action_contract_line_analysis","read","N","","crm.lead,sale.blanket.order,sale.blanket.order.line"
"Reporting","Contract KPI","Contract Timeline","crm_blanket_order_kpi.action_contract_timeline_report","read","N","","crm.lead,crm.contract.timeline.report"
