"App","Main","Sub (เมนู)","Model (โมเดลจริง)","ต้องใช้ ir.rule?","Rule domain hint","หมายเหตุ","ROLE: AP ภาษีซื้อ","ROLE: AR ภาษีขาย","ROLE: Sales","ROLE: Purchase","ROLE: Inventory","ROLE: Acct Manager","ROLE: Admin"
"Accounting","Accounting","Dashboard","account.journal","N","","kanban dashboard อ่านอย่างเดียว","R","R","","","","R","F"
"Accounting","Customers","Invoices","account.move","Y","move_type=out_invoice","แชร์โมเดลกับ Bills/Credit Notes/Journal","-","C","","","","F","F"
"Accounting","Customers","Credit Notes","account.move","Y","move_type=out_refund","","-","C","","","","F","F"
"Accounting","Customers","Receipts","account.move","Y","move_type=out_receipt","ต้องเปิด Sale Receipt; ไม่งั้นเป็น account.payment","-","E","","","","F","F"
"Accounting","Customers","Payments","account.payment","Y","partner_type=customer, payment_type=inbound","","-","C","","","","F","F"
"Accounting","Customers","Products","product.template","N","","","R","R","","","","R","F"
"Accounting","Customers","Customers","res.partner","Y","customer_rank>0 (ถ้าจะแยกลูกค้า/ผู้ขาย)","","-","E","","","","E","F"
"Accounting","Vendors","Bills","account.move","Y","move_type=in_invoice","","C","-","","","","F","F"
"Accounting","Vendors","Refunds","account.move","Y","move_type=in_refund","","C","-","","","","F","F"
"Accounting","Vendors","Receipts","account.move","Y","move_type=in_receipt","","E","-","","","","F","F"
"Accounting","Vendors","Payments","account.payment","Y","partner_type=supplier, payment_type=outbound","","C","-","","","","F","F"
"Accounting","Vendors","Employee Expenses","hr.expense.sheet","N","","เมนูบัญชีชี้ hr.expense.sheet (รายงานเบิก) ไม่ใช่ hr.expense","-","-","","","","E","F"
"Accounting","Vendors","WHT Certificates","withholding.tax.cert","N","","Thai custom (l10n_th_account_tax)","C","-","","","","F","F"
"Accounting","Vendors","Products","product.template","N","","แชร์โมเดลกับ Customer>Products","R","R","","","","R","F"
"Accounting","Vendors","Vendors","res.partner","Y","supplier_rank>0 (ถ้าจะแยก)","","E","-","","","","E","F"
"Accounting","Accounting","Journal Entries","account.move","Y","move_type=entry","","R","R","","","","F","F"
"Accounting","Accounting","Vouchers (สมุดรายวัน)","account.move","Y","","","R","R","","","","F","F"
"Accounting","Accounting","Journal Items","account.move.line","N","","","R","R","","","","F","F"
